,ISBN,Book-Title,Book-Author,Year-Of-Publication,Publisher
0,0446520802,The Notebook,Nicholas Sparks,1996,Warner Books
27,038550120X,A Painted House,JOHN GRISHAM,2001,Doubleday
74,0425115801,Lightning,Dean R. Koontz,1996,Berkley Publishing Group
104,0449006522,Manhattan Hunt Club,JOHN SAUL,2002,Ballantine Books
131,0553561618,Dark Paradise,TAMI HOAG,1994,Bantam
153,055356451X,Night Sins,TAMI HOAG,1995,Bantam
184,0684867621,The Girl Who Loved Tom Gordon : A Novel,Stephen King,1999,Scribner
225,0451166892,The Pillars of the Earth,Ken Follett,1996,Signet Book
283,0451167317,The Dark Half,Stephen King,1994,Signet Book
333,043935806X,Harry Potter and the Order of the Phoenix (Book 5),J. K. Rowling,2003,Scholastic
495,0330332775,Bridget Jones's Diary,Helen Fielding,1997,Picador (UK)
547,0440498058,A Wrinkle In Time,MADELEINE L'ENGLE,1998,Yearling
605,0060096195,The Boy Next Door,Meggin Cabot,2002,Avon Trade
641,0786817070,"Artemis Fowl (Artemis Fowl, Book 1)",Eoin Colfer,2002,Miramax Kids
691,0316781266,The Last Time They Met : A Novel,Anita Shreve,2002,Back Bay Books
738,0345446860,Back When We Were Grownups : A Novel (Ballantine Reader's Circle),ANNE TYLER,2002,Ballantine Books
765,0446364193,Along Came a Spider (Alex Cross Novels),James Patterson,1993,Warner Books
832,0440241537,The King of Torts,JOHN GRISHAM,2003,Dell
896,002542730X,Politically Correct Bedtime Stories: Modern Tales for Our Life and Times,James Finn Garner,1994,John Wiley &amp; Sons Inc
951,0316666343,The Lovely Bones: A Novel,Alice Sebold,2002,"Little, Brown"
1373,0385504209,The Da Vinci Code,Dan Brown,2003,Doubleday
1691,0804106304,The Joy Luck Club,Amy Tan,1994,Prentice Hall (K-12)
1813,0971880107,Wild Animus,Rich Shapero,2004,Too Far
2167,0439064864,Harry Potter and the Chamber of Secrets (Book 2),J. K. Rowling,1999,Scholastic
