,ISBN,Book-Title,Book-Author,Year-Of-Publication,Publisher
0,034545104X,Flesh Tones: A Novel,M. J. Rose,2002,Ballantine Books
11,0446520802,The Notebook,Nicholas Sparks,1996,Warner Books
32,038550120X,A Painted House,JOHN GRISHAM,2001,Doubleday
64,0425115801,Lightning,Dean R. Koontz,1996,Berkley Publishing Group
86,0449006522,Manhattan Hunt Club,JOHN SAUL,2002,Ballantine Books
102,0553561618,Dark Paradise,TAMI HOAG,1994,Bantam
119,055356451X,Night Sins,TAMI HOAG,1995,Bantam
144,0786013990,At the Edge,David Dun,2002,Pinnacle Books
145,0060517794,Little Altars Everywhere,Rebecca Wells,2003,HarperTorch
157,0451192001,How Stella Got Her Groove Back,Terry McMillan,1997,Signet Book
168,0609801279,The Law of Love,Laura Esquivel,1997,Three Rivers Press (CA)
172,0671537458,Waiting to Exhale,Terry McMillan,1995,Pocket
183,0679776818,Birdsong: A Novel of Love and War,Sebastian Faulks,1997,Vintage Books USA
190,0684867621,The Girl Who Loved Tom Gordon : A Novel,Stephen King,1999,Scribner
219,0451166892,The Pillars of the Earth,Ken Follett,1996,Signet Book
260,034544003X,Southampton Row (Charlotte &amp; Thomas Pitt Novels (Hardcover)),Anne Perry,2002,Ballantine Books
263,0380711524,See Jane Run,Joy Fielding,1992,Avon
271,0451167317,The Dark Half,Stephen King,1994,Signet Book
310,3442424216,"Ich, Prinzessin aus dem Hause Al Saud. Ein Leben hinter tausend Schleiern.",Jean P. Sasson,1994,Goldmann
311,3453092007,Die zweite Haut.,Dean Koontz,1995,Heyne
313,0140279091,Saving Private Ryan,Max Allan Collins,1998,Penguin Books Ltd
314,0553572369,Pay Dirt (Mrs. Murphy Mysteries (Paperback)),RITA MAE BROWN,1996,Bantam
317,3442136644,Endlich Nichtraucher.,Allen Carr,1992,Goldmann
318,0345443683,"Blackwood Farm (Rice, Anne, Vampire Chronicles.)",ANNE RICE,2003,Ballantine Books
327,043935806X,Harry Potter and the Order of the Phoenix (Book 5),J. K. Rowling,2003,Scholastic
457,055310666X,False Memory,Dean R. Koontz,1999,Bantam Books
463,0330332775,Bridget Jones's Diary,Helen Fielding,1997,Picador (UK)
495,3446202102,Der GeschichtenverkÃ?Â¤ufer.,Jostein Gaarder,2002,Hanser Belletristik
496,349915398X,Hasenherz. Roman.,John Updike,1976,Rowohlt Tb.
497,3548603203,Artemis Fowl.,Eoin Colfer,2003,Ullstein TB-Vlg
499,0061054143,The X-Files: Goblins,Charles Grant,1994,HarperEntertainment
502,0061054151,Whirlwind (The X-Files),Charles Grant,1995,HarperEntertainment
508,0061056774,The X-Files: Ground Zero,Kevin J. Anderson,1996,HarperEntertainment
513,0671024108,Speaking in Tongues,Jeffery Deaver,2002,Pocket
523,0064405176,Walk Two Moons,Sharon Creech,1996,HarperTrophy
532,0440498058,A Wrinkle In Time,MADELEINE L'ENGLE,1998,Yearling
574,0440414121,The Watsons Go to Birmingham - 1963 (Yearling Newbery),CHRISTOPHER PAUL CURTIS,1997,Yearling
575,8426449476,El Diaro De Bridget Jones,Helen Fielding,1996,Lumen Espana
576,0812571029,Uther (Camulod Chronicles),Jack Whyte,2001,Tor Books
577,0671749609,PERFUME : PERFUME,Patrick Suskind,1991,Washington Square Press
580,0140062718,The Rebel Angels,Robertson Davies,1983,Penguin Books
583,0060096195,The Boy Next Door,Meggin Cabot,2002,Avon Trade
609,0141310340,Skin and Other Stories (Now in Speak!),Roald Dahl,2002,Puffin Books
612,0375821813,Hoot (Newbery Honor Book),CARL HIAASEN,2002,Knopf Books for Young Readers
616,038076041X,A Kid's Guide to How to Save the Planet (Camelot world),Billy Goodman,1990,Harpercollins Juvenile Books
618,0439087597,The Last Book in the Universe,Rodman Philbrick,2002,Scholastic Signature
620,0439401399,The Contest,Gordon Korman,2002,Scholastic
621,0689804458,A String in the Harp,Nancy Bond,1996,Aladdin
622,0786812508,The Sandy Bottom Orchestra,Jenny Nilson,1998,Hyperion Books for Children
623,0786817070,"Artemis Fowl (Artemis Fowl, Book 1)",Eoin Colfer,2002,Miramax Kids
665,2070403734,Les Confessions: Livres I Ã?Â  IV,Jean-Jacques Rousseau,1997,Gallimard
666,2253044903,Le Parfum : Histoire d'un meurtrier,Patrick SÃ?Â¼skind,1988,LGF
677,2253150711,Stupeur Et Tremblements,Amelie Nothomb,2001,Distribooks
689,0440225825,Move to Strike,Perri O'Shaughnessy,2001,Island
696,0316781266,The Last Time They Met : A Novel,Anita Shreve,2002,Back Bay Books
729,0345446860,Back When We Were Grownups : A Novel (Ballantine Reader's Circle),ANNE TYLER,2002,Ballantine Books
741,0671876244,"Field of Dishonor (Honor Harrington Series, Book 4)",David Weber,1994,Baen
743,0380005239,Go Ask Alice (Avon/Flare Book),James Jennings,1991,Avon Books
751,1593080255,The Picture of Dorian Gray,Oscar Wilde,2003,Barnes &amp; Noble Books-Imports
754,0385729340,The Second Summer of the Sisterhood,ANN BRASHARES,2003,Delacorte Books for Young Readers
772,0446364193,Along Came a Spider (Alex Cross Novels),James Patterson,1993,Warner Books
818,3379015180,Schlafes Bruder,Robert Schneider,1994,"Reclam, Leipzig"
824,3404145909,Der Stein der Kelten.,Michael Phillips,2001,LÃ?Â¼bbe
825,3404148576,Nordermoor,Arnaldur Indridason,2003,LÃ?Â¼bbe
828,3404921178,Nur der Tod ist ohne Makel.,Ann Granger,2002,LÃ?Â¼bbe
831,3423071516,Der Kleine Hobbit,J. R. R. Tolkien,2002,Distribooks
835,3442413508,Auf Ehre und Gewissen. Roman.,Elizabeth George,1992,Goldmann
838,3442422035,Keiner werfe den ersten Stein. Roman.,Elizabeth George,1993,Goldmann
840,3442435773,Denn keiner ist ohne Schuld.,Elizabeth George,1996,Goldmann
843,3442437717,Asche zu Asche.,Elizabeth George,1997,Goldmann
846,3442441080,Im Angesicht des Feindes.,Elizabeth George,1998,Goldmann
849,3442444020,Denn sie betrÃ?Â¼gt man nicht.,Elizabeth George,1999,Goldmann
851,3442446414,Mit dem KÃ?Â¼hlschrank durch Irland.,Tony Hawks,2000,Goldmann
856,3442448530,Die HirnkÃ?Â¶nigin.,Thea Dorn,2001,Goldmann
859,3442449820,Undank ist der VÃ?Â¤ter Lohn.,Elizabeth George,2001,Goldmann
861,347354034X,Die Welle,Rhue,1998,"Ullstein-Taschenbuch-Verlag, Zweigniederlassung der Ullstein Buchverlage GmbH"
865,349912176X,Inspektor Jury kÃ?Â¼Ã?Â?t die Muse. Roman.,Martha Grimes,2003,Rowohlt Tb.
866,3551551677,Harry Potter und der Stein der Weisen,Joanne K. Rowling,1999,Carlsen Verlag GmbH
875,3551551685,Harry Potter und die Kammer des Schreckens,Joanne K. Rowling,2000,Carlsen Verlag GmbH
885,3551551693,Harry Potter und der Gefangene von Azkaban,J. K. Rowling,1999,Carlsen Verlag GmbH
894,3551551936,Harry Potter Und Der Feuerkelch,Joanne K. Rowling,1999,Carlsen Verlag GmbH
902,360893541X,Die Gefahrten I,J. R. R. Tolkien,2001,Distribooks
905,3608935428,Die Zwei Turme II,J. R. R. Tolkien,2001,Distribooks
908,3608935436,Die Wiederkehr Des Konigs III,J. R. R. Tolkien,2001,Distribooks Intl
911,374661922X,Der Sterne TennisbÃ?Â¤lle.,Stephen Fry,2003,Aufbau Tb
914,3453042905,Gevatter Tod. Roman. ( Fantasy).,Terry Pratchett,1990,Heyne
916,3453061187,Die Jury. Roman.,John Grisham,1992,Heyne
922,3453071174,Die Firma. Roman.,John Grisham,1993,Heyne
926,3453127013,Der Regenmacher.,John Grisham,1997,Heyne
932,3453211014,Kaltgestellt.,Colin Forbes,2002,Heyne
934,3596122279,Das Superwieb,Hera Lind,2002,Distribooks Inc
937,0449217264,Alaska,James A. Michener,1994,Fawcett Books
945,055321358X,O Pioneers! (Bantam Classic),Willa Cather,1989,Bantam Books
946,0671034944,Soul Survivor,Christopher Golden,1999,Simon Pulse
947,0843946415,Alone with the Dead (Joe Keough Mysteries (Paperback)),Robert J. Randisi,1999,Leisure Books
948,2253005274,Le Grand Meaulnes (Classiques De Poche),Alain-Fournier,2000,Distribooks Inc
956,0140328742,The Wonderful Story of Henry Sugar and Six More,Roald Dahl,1988,Penguin USA
959,0140366830,Tales of the Greek Heroes: Retold from the Ancient Authors (Puffin Classics),Roger Lancelyn Green,1995,Puffin Books
961,0836218833,Attack Of The Deranged Mutant Killer Snow Goons,Bill Watterson,1992,Andrews McMeel Publishing
974,0836220889,Calvin and Hobbes,Bill Watterson,1987,Andrews McMeel Publishing
989,088365721X,"The Best of Bombeck: At Wit's End, Just Wait Until You Have Children of Your Own, I Lost Everything in the Post-Natal Depression",Erma Bombeck,1994,BBS Publishing Corporation
990,3257227264,Die HÃ?Â¤upter meiner Lieben.,Ingrid Noll,2000,Diogenes Verlag
995,3423201509,Die Weiss Lowin / Contemporary German Lit,Henning Mankell,2002,Distribooks
1005,0345423402,A Kiss of Shadows (Meredith Gentry Novels (Paperback)),LAURELL K. HAMILTON,2002,Ballantine Books
1028,3404131606,Nachtschicht.,Stephen King,2003,LÃ?Â¼bbe
1032,3404139178,Das Lacheln der Fortuna: Historischer Roman,Rebecca Gable,1997,LÃ?Â¼bbe
1038,3442421357,Im Eishaus.,Minette Walters,1996,Goldmann
1042,345309221X,Die Zauberin von Ruwenda.,Marion Zimmer Bradley,1995,Heyne
1045,3596129389,Die Zauberfrau.,Hera Lind,1995,"Fischer (Tb.), Frankfurt"
1049,3596237874,Beim Naechsten Mann Wird Alles (Frau in Der Gesellschaft),Eva Heller,1997,Fischer Taschenbuch Verlag GmbH
1052,3596247500,Ein Mann fÃ?Â¼r jede Tonart. Roman. ( Die Frau in der Gesellschaft).,Hera Lind,2000,"Fischer (Tb.), Frankfurt"
1054,044020562X,One,Richard Bach,1989,Dell
1064,042518109X,Whispers,Dean R. Koontz,2001,Berkley Publishing Group
1073,0425188221,Shadowland,Peter Straub,2003,Berkley Publishing Group
1075,0688172377,Desert Flower : The Extraordinary Journey Of A Desert Nomad,Waris Dirie,1999,Perennial
1077,8806155873,Un Giorno Dopo L'altro,Carlo Lucarelli,2000,Einaudi
1078,8838910987,Il birraio di Preston (La memoria),Andrea Camilleri,1995,Sellerio
1080,0151446474,The Name of the Rose,Umberto Eco,1983,Harcourt
1087,0064430227,Harold and the Purple Crayon 50th Anniversary Edition (Purple Crayon Books),Crockett Johnson,1981,HarperTrophy
1091,0671723650,How To Win Friends And Influence People,Dale Carnegie,1990,Pocket
1096,0812533550,Ender's Game (Ender Wiggins Saga (Paperback)),Orson Scott Card,1986,Tor Books
1102,0446613843,The Jester,James Patterson,2004,Warner Books
1111,0440241537,The King of Torts,JOHN GRISHAM,2003,Dell
1145,0440228840,Demon in My View (Laurel-Leaf Books),AMELIA ATWATER-RHODES,2001,Laurel Leaf
1146,0060542845,The Holiday Present,Johanna Lindsey,2003,Avon Books
1152,1551666308,"Roan (Blake, Jennifer, Louisiana Gentlemen Series.)",Jennifer Blake,2000,Mira
1153,8432205311,El Perfume: Historia De UN Asesino/Perfume : The Story of a Murderer,Patrick Suskind,1984,Editorial Seix Barral
1155,042513976X,Close to the Bone,David Wiltse,1993,Berkley Publishing Group
1156,0441008291,The Tower at Stony Wood,Patricia A. McKillip,2001,Ace Books
1158,002542730X,Politically Correct Bedtime Stories: Modern Tales for Our Life and Times,James Finn Garner,1994,John Wiley &amp; Sons Inc
1195,0060520507,"Sushi for Beginners : A Novel (Keyes, Marian)",Marian Keyes,2003,William Morrow
1202,0060930934,Wasted : A Memoir of Anorexia and Bulimia,Marya Hornbacher,1999,Perennial
1209,0060951303,La casa de los espÃ­ritus,Isabel Allende,1995,Rayo
1212,0140154078,The Music of Chance,Paul Auster,1993,Penguin Books
1219,0140327592,Matilda,Roald Dahl,1990,Viking Penguin Inc
1223,0140367616,The Coral Island (Puffin Classics),Robert M. Ballantyne,1995,Puffin Books
1224,0141181222,One Flew over the Cuckoo's Nest (Penguin Classics),Ken Kesey,2003,Penguin Books
1225,0316666343,The Lovely Bones: A Novel,Alice Sebold,2002,"Little, Brown"
1487,0345391810,The Restaurant at the End of the Universe (Hitchhiker's Trilogy (Paperback)),Douglas Adams,1995,Ballantine Books
1502,0385504209,The Da Vinci Code,Dan Brown,2003,Doubleday
1700,0439284031,Harry Potter Schoolbooks: Quidditch Through the Ages and Fantastic Beasts and Where to Find Them,J .K. Rowling,2001,Scholastic
1702,0439286239,Harry Potter and the Sorcerer's Stone Movie Poster Book,Inc Staff Scholastic,2001,Scholastic
1703,0449221148,High Stakes,Dick Francis,1993,Fawcett Books
1706,0451527747,Alice's Adventures in Wonderland and Through the Looking Glass,Lewis Carroll,2000,Signet Classics
1712,0486282112,Frankenstein (Dover Thrift Editions),Mary Wollstonecraft Shelley,1994,Dover Publications
1719,0486424499,Jane Eyre (Dover Thrift Editions),Charlotte Bronte,2003,Dover Publications
1724,0553275283,Love Story,Erich Segal,1988,Bantam Books
1728,0613329740,Quidditch Through the Ages,J. K. Rowling,2001,Sagebrush Education Resources
1740,063403541X,Bridget Jones's Diary: Music from the Motion Picture,Various,2001,Hal Leonard Publishing Corporation
1746,067172939X,Dark Angel (Casteel),V.C. Andrews,1990,Pocket
1753,0671729438,Gates of Paradise (Casteel),V.C. Andrews,1990,Pocket
1759,0679745580,In Cold Blood (Vintage International),TRUMAN CAPOTE,1994,Vintage
1765,0804106304,The Joy Luck Club,Amy Tan,1994,Prentice Hall (K-12)
1846,0971880107,Wild Animus,Rich Shapero,2004,Too Far
1991,1400001625,Sultana (Spanish Edition),JEAN SASSON,2002,Plaza y Janes
1993,2290309494,Virgin suicides,Eugenides Jeffrey,2000,J'ai lu
1994,2742739351,Les Soldats de Salamine,Javier Cercas,2002,Actes Sud
1996,3775713328,Ernst Luwig Kirchner: Mountain Life: The Early Years in Davos 1917-1926,Ernst Ludwig Kirchner,2003,Hatje Cantz Publishers
1998,8401462231,Contacto,Carl Sagan,1989,Lectorum Pubns Inc
2001,8408011200,El Hermano Pequeno (Serie Carvalho),Manuel Vazquez Montalban,1995,Planeta Pub Corp
2004,8420432113,Momo (Spanish Language Edition),Michael Ende,1984,Aguilar
2008,8423325105,NADA,Carmen Laforet,1999,Destino Ediciones
2011,8423951537,El Corazon Del Tartaro (Narrativa),Rosa Montero,2002,"Espasa Calpe Mexicana, S.A."
2014,8423976645,Olvidado Rey Gudu,Ana Maria Matute,1996,Espasa
2015,8440627203,El mÃ©dico,Noah Gordon,1992,Ediciones B
2019,8440696833,La Playa (Spanish Language Version),Alex Garland,2000,Grupo Zeta
2020,8495501090,El ocho,Katherine Neville,2001,Punto de Lectura
2029,8495501198,Memorias de una geisha,Arthur Golden,2001,Suma de Letras
2037,950491036X,La Sombra del Viento,Carlos Ruiz Zafon,2003,Planeta
2045,059030271X,Charlotte's Web,E. B. White,1974,Scholastic Paperbacks (T)
2056,0590453661,"Stay Out of the Basement (Goosebumps, No 2)",R. L. Stine,1995,Scholastic
2059,0590483404,"A Shocker on Shock Street (Goosebumps, No 35)",R. L. Stine,1995,Scholastic
2064,0671021354,Child of the Hunt (Buffy the Vampire Slayer),Christopher Golden,1998,Simon Spotlight Entertainment
2066,0060964049,"Tales of the City (Tales of the City Series, V. 1)",Armistead Maupin,1989,Perennial
2081,0380807343,Coraline,Neil Gaiman,2003,HarperTrophy
2099,0439064864,Harry Potter and the Chamber of Secrets (Book 2),J. K. Rowling,1999,Scholastic
2185,2020564777,Bouquiner : Autobiobibliographie,Annie FranÃ?Â§ois,2002,Seuil
2190,2020591944,Twist tropique,Francis Mizio,2003,Seuil
2193,2070378411,L'Enchanteur,RenÃ?Â© Barjavel,1987,Gallimard
2194,2070406962,Des chrÃ?Â©tiens et des maures,Daniel Pennac,1999,Gallimard
2199,2070408450,Saga,Tonino Benacquista,1999,Gallimard
2200,2070425770,La Douce empoisonneuse,Arto Paasilinna,2003,Gallimard
