,ISBN,Book-Title,Book-Author,Year-Of-Publication,Publisher
0,034545104X,Flesh Tones: A Novel,M. J. Rose,2002,Ballantine Books
10,0446520802,The Notebook,Nicholas Sparks,1996,Warner Books
31,038550120X,A Painted House,JOHN GRISHAM,2001,Doubleday
61,0425115801,Lightning,Dean R. Koontz,1996,Berkley Publishing Group
82,0449006522,Manhattan Hunt Club,JOHN SAUL,2002,Ballantine Books
97,0553561618,Dark Paradise,TAMI HOAG,1994,Bantam
114,055356451X,Night Sins,TAMI HOAG,1995,Bantam
139,0060517794,Little Altars Everywhere,Rebecca Wells,2003,HarperTorch
150,0451192001,How Stella Got Her Groove Back,Terry McMillan,1997,Signet Book
161,0671537458,Waiting to Exhale,Terry McMillan,1995,Pocket
172,0684867621,The Girl Who Loved Tom Gordon : A Novel,Stephen King,1999,Scribner
200,0451166892,The Pillars of the Earth,Ken Follett,1996,Signet Book
238,0451167317,The Dark Half,Stephen King,1994,Signet Book
276,043935806X,Harry Potter and the Order of the Phoenix (Book 5),J. K. Rowling,2003,Scholastic
404,0330332775,Bridget Jones's Diary,Helen Fielding,1997,Picador (UK)
435,0061054151,Whirlwind (The X-Files),Charles Grant,1995,HarperEntertainment
440,0671024108,Speaking in Tongues,Jeffery Deaver,2002,Pocket
450,0064405176,Walk Two Moons,Sharon Creech,1996,HarperTrophy
458,0440498058,A Wrinkle In Time,MADELEINE L'ENGLE,1998,Yearling
500,0060096195,The Boy Next Door,Meggin Cabot,2002,Avon Trade
525,0786817070,"Artemis Fowl (Artemis Fowl, Book 1)",Eoin Colfer,2002,Miramax Kids
566,0440225825,Move to Strike,Perri O'Shaughnessy,2001,Island
573,0316781266,The Last Time They Met : A Novel,Anita Shreve,2002,Back Bay Books
604,0345446860,Back When We Were Grownups : A Novel (Ballantine Reader's Circle),ANNE TYLER,2002,Ballantine Books
613,0385729340,The Second Summer of the Sisterhood,ANN BRASHARES,2003,Delacorte Books for Young Readers
631,0446364193,Along Came a Spider (Alex Cross Novels),James Patterson,1993,Warner Books
673,0449217264,Alaska,James A. Michener,1994,Fawcett Books
680,0345423402,A Kiss of Shadows (Meredith Gentry Novels (Paperback)),LAURELL K. HAMILTON,2002,Ballantine Books
702,044020562X,One,Richard Bach,1989,Dell
711,042518109X,Whispers,Dean R. Koontz,2001,Berkley Publishing Group
720,0671723650,How To Win Friends And Influence People,Dale Carnegie,1990,Pocket
725,0446613843,The Jester,James Patterson,2004,Warner Books
731,0440241537,The King of Torts,JOHN GRISHAM,2003,Dell
760,002542730X,Politically Correct Bedtime Stories: Modern Tales for Our Life and Times,James Finn Garner,1994,John Wiley &amp; Sons Inc
797,0316666343,The Lovely Bones: A Novel,Alice Sebold,2002,"Little, Brown"
1045,0345391810,The Restaurant at the End of the Universe (Hitchhiker's Trilogy (Paperback)),Douglas Adams,1995,Ballantine Books
1059,0385504209,The Da Vinci Code,Dan Brown,2003,Doubleday
1246,0679745580,In Cold Blood (Vintage International),TRUMAN CAPOTE,1994,Vintage
1252,0804106304,The Joy Luck Club,Amy Tan,1994,Prentice Hall (K-12)
1329,0971880107,Wild Animus,Rich Shapero,2004,Too Far
1463,059030271X,Charlotte's Web,E. B. White,1974,Scholastic Paperbacks (T)
1474,0060964049,"Tales of the City (Tales of the City Series, V. 1)",Armistead Maupin,1989,Perennial
1487,0380807343,Coraline,Neil Gaiman,2003,HarperTrophy
1504,0439064864,Harry Potter and the Chamber of Secrets (Book 2),J. K. Rowling,1999,Scholastic
1589,059035342X,Harry Potter and the Sorcerer's Stone (Harry Potter (Paperback)),J. K. Rowling,1999,Arthur A. Levine Books
1724,0446310786,To Kill a Mockingbird,Harper Lee,1988,Little Brown &amp; Company
1828,0312966970,Four To Score (A Stephanie Plum Novel),Janet Evanovich,1999,St. Martin's Paperbacks
1876,0345354621,The Terminal Man,Michael Crichton,1988,Ballantine Books
1888,0425172546,Southern Cross,Patricia Daniels Cornwell,1999,Berkley Publishing Group
1917,0440220602,The Chamber,John Grisham,1995,Dell Publishing Company
1978,0765342987,Kushiel's Dart,Jacqueline Carey,2002,Tor Books
1995,0812550307,"The Fires of Heaven (The Wheel of Time, Book 5)",Robert Jordan,1994,Tor Fantasy
2008,0060930187,The Bell Jar : A Novel (Perennial Classics),Sylvia Plath,2000,Perennial
2026,0375760911,The Idiot Girls' Action Adventure Club,Laurie Notaro,2002,Villard Books
2051,0689817851,Go Ask Alice,Anonymous,1998,Simon Pulse
2074,0671793489,All Around the Town,Mary Higgins Clark,1993,Pocket Star
2098,0312244266,Winter Solstice,Rosamunde Pilcher,2000,Thomas Dunne Books
2109,3423202327,MÃ?Â¶rder ohne Gesicht.,Henning Mankell,1999,Dtv
2117,3492045170,Stupid White Men. Eine Abrechnung mit dem Amerika unter George W. Bush,Michael Moore,2003,Piper
2127,0671011367,Deja Dead,Kathy Reichs,1998,Pocket
2146,0061000027,Dance Hall of the Dead (Joe Leaphorn Novels),Tony Hillerman,1990,HarperTorch
2155,0812511816,"The Eye of the World (The Wheel of Time, Book 1)",Robert Jordan,1990,Tor Fantasy
2178,0880381736,"Dragons of Autumn Twilight (Dragonlance Chronicles, Vol 1)",Margaret Weis,1990,TSR
2189,0060505885,The Scandalous Summer of Sissy LeBlanc : A Novel,Loraine Despres,2002,Perennial
2201,0061097101,The Saving Graces: A Novel,Patricia Gaffney,2000,HarperTorch
2224,0312283709,Running with Scissors,Augusten Burroughs,2002,St. Martin's Press
2235,0312983271,Full House (Janet Evanovich's Full Series),Janet Evanovich,2002,St. Martin's Paperbacks
2268,0380731851,Mystic River,Dennis Lehane,2002,HarperTorch
2306,0446605484,Roses Are Red (Alex Cross Novels),James Patterson,2001,Warner Vision
2335,0446611212,Violets Are Blue,James Patterson,2002,Warner Vision
2364,0451188454,The Bone Collector (Lincoln Rhyme Novels (Paperback)),Jeff Deaver,2004,Signet Book
2383,0609804138,The Sweet Potato Queens' Book of Love,JILL CONNER BROWNE,1999,Three Rivers Press
2421,0671003755,She's Come Undone (Oprah's Book Club (Paperback)),Wally Lamb,1996,Washington Square Press
2503,0743407067,The First Time,Joy Fielding,2001,Pocket Star
2513,074343627X,Dreamcatcher,Stephen King,2001,Pocket
2534,0385720920,Choke,CHUCK PALAHNIUK,2002,Anchor
2547,0393319296,Invisible Monsters,Chuck Palahniuk,1999,W.W. Norton &amp; Company
2562,0553262505,"A Wizard of Earthsea (Earthsea Trilogy, Book 1)",URSULA K. LE GUIN,1984,Bantam
2580,0805062971,Fight Club,Chuck Palahniuk,1999,Owl Books
2603,3257228007,Das Parfum: Die Geschichte Eines Morders,Patrick Suskind,1994,Distribooks Inc
2614,1573229571,About a Boy (Movie Tie-In),Nick Hornby,2002,Riverhead Books
2636,0064407667,"The Bad Beginning (A Series of Unfortunate Events, Book 1)",Lemony Snicket,1999,HarperCollins
2693,081297106X,Reading Lolita in Tehran: A Memoir in Books,Azar Nafisi,2003,Random House Trade Paperbacks
2704,0425191184,Red Rabbit,Tom Clancy,2003,Berkley Publishing Group
2713,0385503822,The Summons,John Grisham,2002,Doubleday Books
2741,0425189864,Mortal Prey,John Sandford,2003,Berkley Publishing Group
2747,0440236053,Writ of Execution,Perri O'Shaughnessy,2002,Dell Publishing Company
2753,0440241073,The Summons,John Grisham,2002,Dell Publishing Company
2802,0553586122,Reap the Wind,Iris Johansen,2002,Bantam Books
2815,0312960344,Pandora's Clock,John J. Nance,1996,St. Martin's Press
2819,0345342968,Fahrenheit 451,RAY BRADBURY,1987,Del Rey
2894,0375756981,The Vagina Monologues: The V-Day Edition,Eve Ensler,2000,Villard Books
2911,0671027662,Coast Road: A Novel,Barbara Delinsky,1999,Pocket Books
2924,0767903382,Tender at the Bone: Growing Up at the Table,Ruth Reichl,1999,Broadway Books
2932,034541389X,Flesh and Blood,Jonathan Kellerman,2002,Ballantine Books
2950,0345452550,A Cold Heart: An Alex Delaware Novel,JONATHAN KELLERMAN,2003,Ballantine Books
2961,0399148639,Mortal Prey,John Sandford,2002,Putnam Publishing Group
2975,0449221512,I Is for Innocent,Sue Grafton,1994,Fawcett Books
3005,0670894184,Back Roads,Tawni O'Dell,2000,Viking Books
3022,0671024094,The Coffin Dancer (Lincoln Rhyme Novels (Paperback)),Jeffery Deaver,1999,Pocket Books
3034,0743486226,Angels &amp; Demons,Dan Brown,2003,Atria
3046,0425175405,Black Notice,Patricia Daniels Cornwell,2000,Berkley Publishing Group
3077,0440225701,The Street Lawyer,JOHN GRISHAM,1999,Dell
3120,0553263226,The Bourne Supremacy,Robert Ludlum,1987,Bantam
3133,067102423X,Bag of Bones,Stephen King,1999,Pocket
3172,0425178102,Big Trouble,Dave Barry,2001,Berkley Publishing Group
3179,0446609404,Cradle and All,James Patterson,2001,Warner Vision
3204,0446610038,1st to Die: A Novel,James Patterson,2002,Warner Vision
3273,0553285920,Silent Partner (Alex Delaware Novels (Paperback)),Jonathan Kellerman,1990,Bantam Books
