,ISBN,Book-Title,Book-Author,Year-Of-Publication,Publisher
0,034545104X,Flesh Tones: A Novel,M. J. Rose,2002,Ballantine Books
10,0446520802,The Notebook,Nicholas Sparks,1996,Warner Books
31,038550120X,A Painted House,JOHN GRISHAM,2001,Doubleday
61,0425115801,Lightning,Dean R. Koontz,1996,Berkley Publishing Group
82,0449006522,Manhattan Hunt Club,JOHN SAUL,2002,Ballantine Books
97,0553561618,Dark Paradise,TAMI HOAG,1994,Bantam
114,055356451X,Night Sins,TAMI HOAG,1995,Bantam
139,0060517794,Little Altars Everywhere,Rebecca Wells,2003,HarperTorch
150,0451192001,How Stella Got Her Groove Back,Terry McMillan,1997,Signet Book
161,0609801279,The Law of Love,Laura Esquivel,1997,Three Rivers Press (CA)
164,0671537458,Waiting to Exhale,Terry McMillan,1995,Pocket
175,0679776818,Birdsong: A Novel of Love and War,Sebastian Faulks,1997,Vintage Books USA
182,0684867621,The Girl Who Loved Tom Gordon : A Novel,Stephen King,1999,Scribner
210,0451166892,The Pillars of the Earth,Ken Follett,1996,Signet Book
248,0380711524,See Jane Run,Joy Fielding,1992,Avon
256,0451167317,The Dark Half,Stephen King,1994,Signet Book
294,0553572369,Pay Dirt (Mrs. Murphy Mysteries (Paperback)),RITA MAE BROWN,1996,Bantam
297,0345443683,"Blackwood Farm (Rice, Anne, Vampire Chronicles.)",ANNE RICE,2003,Ballantine Books
305,043935806X,Harry Potter and the Order of the Phoenix (Book 5),J. K. Rowling,2003,Scholastic
433,055310666X,False Memory,Dean R. Koontz,1999,Bantam Books
439,0330332775,Bridget Jones's Diary,Helen Fielding,1997,Picador (UK)
470,3548603203,Artemis Fowl.,Eoin Colfer,2003,Ullstein TB-Vlg
472,0061054143,The X-Files: Goblins,Charles Grant,1994,HarperEntertainment
475,0061054151,Whirlwind (The X-Files),Charles Grant,1995,HarperEntertainment
480,0061056774,The X-Files: Ground Zero,Kevin J. Anderson,1996,HarperEntertainment
485,0671024108,Speaking in Tongues,Jeffery Deaver,2002,Pocket
495,0064405176,Walk Two Moons,Sharon Creech,1996,HarperTrophy
503,0440498058,A Wrinkle In Time,MADELEINE L'ENGLE,1998,Yearling
545,0671749609,PERFUME : PERFUME,Patrick Suskind,1991,Washington Square Press
548,0140062718,The Rebel Angels,Robertson Davies,1983,Penguin Books
551,0060096195,The Boy Next Door,Meggin Cabot,2002,Avon Trade
576,0786817070,"Artemis Fowl (Artemis Fowl, Book 1)",Eoin Colfer,2002,Miramax Kids
617,2253044903,Le Parfum : Histoire d'un meurtrier,Patrick SÃ?Â¼skind,1988,LGF
628,2253150711,Stupeur Et Tremblements,Amelie Nothomb,2001,Distribooks
640,0440225825,Move to Strike,Perri O'Shaughnessy,2001,Island
647,0316781266,The Last Time They Met : A Novel,Anita Shreve,2002,Back Bay Books
678,0345446860,Back When We Were Grownups : A Novel (Ballantine Reader's Circle),ANNE TYLER,2002,Ballantine Books
687,0380005239,Go Ask Alice (Avon/Flare Book),James Jennings,1991,Avon Books
695,0385729340,The Second Summer of the Sisterhood,ANN BRASHARES,2003,Delacorte Books for Young Readers
713,0446364193,Along Came a Spider (Alex Cross Novels),James Patterson,1993,Warner Books
755,3379015180,Schlafes Bruder,Robert Schneider,1994,"Reclam, Leipzig"
761,3551551677,Harry Potter und der Stein der Weisen,Joanne K. Rowling,1999,Carlsen Verlag GmbH
769,3453061187,Die Jury. Roman.,John Grisham,1992,Heyne
775,3453071174,Die Firma. Roman.,John Grisham,1993,Heyne
779,3596122279,Das Superwieb,Hera Lind,2002,Distribooks Inc
782,0449217264,Alaska,James A. Michener,1994,Fawcett Books
789,0836218833,Attack Of The Deranged Mutant Killer Snow Goons,Bill Watterson,1992,Andrews McMeel Publishing
802,0836220889,Calvin and Hobbes,Bill Watterson,1987,Andrews McMeel Publishing
817,3257227264,Die HÃ?Â¤upter meiner Lieben.,Ingrid Noll,2000,Diogenes Verlag
822,3423201509,Die Weiss Lowin / Contemporary German Lit,Henning Mankell,2002,Distribooks
832,0345423402,A Kiss of Shadows (Meredith Gentry Novels (Paperback)),LAURELL K. HAMILTON,2002,Ballantine Books
854,3596237874,Beim Naechsten Mann Wird Alles (Frau in Der Gesellschaft),Eva Heller,1997,Fischer Taschenbuch Verlag GmbH
857,3596247500,Ein Mann fÃ?Â¼r jede Tonart. Roman. ( Die Frau in der Gesellschaft).,Hera Lind,2000,"Fischer (Tb.), Frankfurt"
859,044020562X,One,Richard Bach,1989,Dell
868,042518109X,Whispers,Dean R. Koontz,2001,Berkley Publishing Group
877,0688172377,Desert Flower : The Extraordinary Journey Of A Desert Nomad,Waris Dirie,1999,Perennial
879,0151446474,The Name of the Rose,Umberto Eco,1983,Harcourt
886,0671723650,How To Win Friends And Influence People,Dale Carnegie,1990,Pocket
891,0812533550,Ender's Game (Ender Wiggins Saga (Paperback)),Orson Scott Card,1986,Tor Books
896,0446613843,The Jester,James Patterson,2004,Warner Books
902,0440241537,The King of Torts,JOHN GRISHAM,2003,Dell
931,0060542845,The Holiday Present,Johanna Lindsey,2003,Avon Books
936,002542730X,Politically Correct Bedtime Stories: Modern Tales for Our Life and Times,James Finn Garner,1994,John Wiley &amp; Sons Inc
973,0060520507,"Sushi for Beginners : A Novel (Keyes, Marian)",Marian Keyes,2003,William Morrow
978,0060930934,Wasted : A Memoir of Anorexia and Bulimia,Marya Hornbacher,1999,Perennial
985,0316666343,The Lovely Bones: A Novel,Alice Sebold,2002,"Little, Brown"
1233,0345391810,The Restaurant at the End of the Universe (Hitchhiker's Trilogy (Paperback)),Douglas Adams,1995,Ballantine Books
1247,0385504209,The Da Vinci Code,Dan Brown,2003,Doubleday
1434,0451527747,Alice's Adventures in Wonderland and Through the Looking Glass,Lewis Carroll,2000,Signet Classics
1440,0486282112,Frankenstein (Dover Thrift Editions),Mary Wollstonecraft Shelley,1994,Dover Publications
1447,0486424499,Jane Eyre (Dover Thrift Editions),Charlotte Bronte,2003,Dover Publications
1452,0613329740,Quidditch Through the Ages,J. K. Rowling,2001,Sagebrush Education Resources
1464,067172939X,Dark Angel (Casteel),V.C. Andrews,1990,Pocket
1471,0671729438,Gates of Paradise (Casteel),V.C. Andrews,1990,Pocket
1477,0679745580,In Cold Blood (Vintage International),TRUMAN CAPOTE,1994,Vintage
1483,0804106304,The Joy Luck Club,Amy Tan,1994,Prentice Hall (K-12)
1560,0971880107,Wild Animus,Rich Shapero,2004,Too Far
1694,8495501090,El ocho,Katherine Neville,2001,Punto de Lectura
1703,8495501198,Memorias de una geisha,Arthur Golden,2001,Suma de Letras
1711,950491036X,La Sombra del Viento,Carlos Ruiz Zafon,2003,Planeta
1719,059030271X,Charlotte's Web,E. B. White,1974,Scholastic Paperbacks (T)
1730,0590453661,"Stay Out of the Basement (Goosebumps, No 2)",R. L. Stine,1995,Scholastic
1732,0590483404,"A Shocker on Shock Street (Goosebumps, No 35)",R. L. Stine,1995,Scholastic
1736,0060964049,"Tales of the City (Tales of the City Series, V. 1)",Armistead Maupin,1989,Perennial
1749,0380807343,Coraline,Neil Gaiman,2003,HarperTrophy
1766,0439064864,Harry Potter and the Chamber of Secrets (Book 2),J. K. Rowling,1999,Scholastic
1851,2266104535,Et Si C'Etait Vrai / If This Were Only True,Marc Levy,2001,Pocket
1860,3453150538,Weit wie das Meer.,Nicholas Sparks,1999,Heyne
1861,0316154601,Lost Light,Michael Connelly,2003,"Little, Brown"
1864,059035342X,Harry Potter and the Sorcerer's Stone (Harry Potter (Paperback)),J. K. Rowling,1999,Arthur A. Levine Books
1999,2070419657,Soie,Alessandro Baricco,2001,Gallimard
2003,2253063339,Les Fourmis,Bernard Werber,2002,LGF
2013,226612269X,Ou Es-Tu?,Marc Levy,2003,Distribooks Inc
2017,8423310353,El Camino (Coleccion Destinolibro),Miguel Delibes,1991,Continental Book Company
2023,0446310786,To Kill a Mockingbird,Harper Lee,1988,Little Brown &amp; Company
2127,0312966970,Four To Score (A Stephanie Plum Novel),Janet Evanovich,1999,St. Martin's Paperbacks
2175,0345354621,The Terminal Man,Michael Crichton,1988,Ballantine Books
2187,0345385764,Night Manager,JOHN LE CARRE,1994,Ballantine Books
2189,0425104273,The First Deadly Sin,Lawrence Sanders,1993,Berkley Publishing Group
2192,0425172546,Southern Cross,Patricia Daniels Cornwell,1999,Berkley Publishing Group
2221,0440218667,The Select,F. Paul Wilson,1995,Dell
2224,0440220602,The Chamber,John Grisham,1995,Dell Publishing Company
2285,0451180054,Trial by Fire,Nancy Taylor Rosenberg,1996,Signet Book
2291,0451198514,Stealing Faces,Michael Prescott,1999,Signet Book
2294,0553266306,The Day of the Jackal,Frederick Forsyth,1982,Bantam Books
2295,0765342987,Kushiel's Dart,Jacqueline Carey,2002,Tor Books
2312,0812550307,"The Fires of Heaven (The Wheel of Time, Book 5)",Robert Jordan,1994,Tor Fantasy
2325,0886773741,Tailchaser's Song,Tad Williams,1994,Daw Books
